Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
5699,FLASHMART #102 /PERRY,I,1115 IA HWY 141,PERRY,IA,50220,POINT (-94.1057 41.82995),01/01/2025
5242,KUM & GO #3502 / IOWA CITY,A,2303 MUSCATINE AVE,IOWA CITY,IA,52240,POINT (-91.50168 41.64955),01/01/2025
5741,HASS MARKET,I,122 SOUTH 2ND STREET,CLINTON,IA,52732,POINT (-90.18828 41.84508),01/01/2025
5662,RIVERSIDE LIQUOR 2 / DAVENPORT,A,1528 W LOCUST,DAVENPORT,IA,52804,POINT (-90.59741 41.53823),01/01/2025
5933,ALI'S CORNER / WATERLOO,A,1117 E 4TH ST,WATERLOO,IA,50703,POINT (-92.33275 42.50773),01/01/2025
010525,BIG 10 MART #22 / DAVENPORT,A,20919 NORTH BRADY STREET,DAVENPORT,IA,52806,POINT (-90.56885 41.60995),01/01/2025
5145,SOUTH SIDE FOOD MART,A,1101 ARMY POST RD. SUITE A & B,DES MOINES,IA,50315,POINT (-93.62851 41.52671),01/01/2025
4474,BUCKY'S EXPRESS #34 / COUNCIL BLUFFS,I,3501 W BROADWAY ST,COUNCIL BLUFFS,IA,51501,POINT (-95.9027 41.26168),01/01/2025
010384,BREW THIRTY / STORM LAKE,I,1101 LAKE AVE,STORM LAKE,IA,50588,POINT (-95.20081 42.65137),01/01/2025
5361,LIQUORLAND / BURLINGTON,A,600 SOUTH MAIN STREET,BURLINGTON,IA,52601,POINT (-91.10195 40.8029),01/01/2025
6084,CIRCLE K #22654123 / BOONE,A,315 STORY ST,BOONE,IA,50036,POINT (-93.88 42.05914),01/01/2025
4654,KUM & GO #510 / STUART,A,629 S DIVISION ST,STUART,IA,50250,POINT (-94.31823 41.49645),01/01/2025
3909,D AND S GROCERY,A,104 SE  A ST,MELCHER-DALLAS,IA,50163,POINT (-93.24162 41.22245),01/01/2025
4110,"BROTHERS MARKET, INC.",A,706 HIGHWAY 57,PARKERSBURG,IA,50665,POINT (-92.7852 42.57036),01/01/2025
010369,"AMERICAN PREMIUM VODKA, LLC / SAMPLE",I,100 EASY STREET #757,CAREFREE,AZ,85377,POINT (-111.92302 33.82351),01/01/2025
2670,HY-VEE FOOD STORE / CORALVILLE,A,2004 8TH  ST,CORALVILLE,IA,52241,POINT (-91.592 41.68238),01/01/2025
4351,KUM & GO #301 / CLEAR LAKE,A,2325 7TH AVE N,CLEAR LAKE,IA,50248,POINT (-93.35981 43.14529),01/01/2025
010278,SHELLSBURG QUICK STOP / SHELLSBURG,I,101 MAIN STREET SOUTHEAST,SHELLSBURG,IA,52332,POINT (-91.86948 42.09457),01/01/2025
6140,ROYAL FOOD & LIQUOR / DES MOINES,A,1443 2ND AVE,DES MOINES,IA,50314,POINT (-93.61948 41.60511),01/01/2025
5557,CASEY'S GENERAL STORE #2014 / FORT DODGE,A,2206 2ND AVE N,FORT DODGE,IA,50501,POINT (-94.16766 42.50839),01/01/2025
4069,FAREWAY STORES #648 / OTTUMWA,A,1325 ALBIA RD,OTTUMWA,IA,52501,POINT (-92.4399 41.01044),01/01/2025
5491,ACKLEY SUPERFOODS,I,526 MAIN ST,ACKLEY,IA,50601,POINT (-93.05525 42.55414),01/01/2025
4751,WALGREENS #03595 / DAVENPORT,A,1720 W KIMBERLY RD,DAVENPORT,IA,52806,POINT (-90.60132 41.56043),01/01/2025
6277,BP TO GO #5 / HIAWATHA,A,975 ROBINS ROAD,HIAWATHA,IA,52233,POINT (-91.67296 42.04729),01/01/2025
2518,HY-VEE WINE AND SPIRITS (1544) / RED OAK,A,1607 NORTH BROADWAY,RED OAK,IA,51566,POINT (-95.23279 41.01913),01/01/2025
5505,LIQUOR BARN II,I,721 CENTRAL AVE W,HAMPTON,IA,50441,POINT (-93.21694 42.74174),01/01/2025
6176,MINI-MART / CEDAR FALLS,A,1420 WEST 1ST STREET,CEDAR FALLS,IA,50613,POINT (-92.46285 42.53779),01/01/2025
6100,MOES MART #3 / COUNCIL BLUFFS,A,154 BENNETT AVE,COUNCIL BLUFFS,IA,51503,POINT (-95.82034 41.25285),01/01/2025
4444,KUM & GO #4127 / SLOAN,A,1864 HWY 141,SLOAN,IA,51055,POINT (-96.23625 42.22808),01/01/2025
4200,FAREWAY STORES #019 / SIOUX CITY,A,4016 INDIAN HILLS DR,SIOUX CITY,IA,51108,POINT (-96.37329 42.53856),01/01/2025
5648,FAREWAY STORES #189 / AMES,A,3720 LINCOLN WAY,AMES,IA,50014,POINT (-93.66893 42.02286),01/01/2025
010513,DALE'S CORNER / FORT DODGE,A,231 5TH AVENUE NORTH,FORT DODGE,IA,50501,POINT (-94.19614 42.50987),01/01/2025
6240,RACEWAY 80 / NEWTON,A,4300 SOUTH 22ND AVENUE EAST,NEWTON,IA,50208,POINT (-93.00069 41.67964),01/01/2025
6224,MID TOWN LIQUOR & VAPE / MASON CITY,A,824 NORTH FEDERAL AVENUE,MASON CITY,IA,50401,POINT (-93.20108 43.15973),01/01/2025
4163,FAREWAY STORES #461 / STORM LAKE,A,731 SENECA ST,STORM LAKE,IA,50588,POINT (-95.19691 42.64638),01/01/2025
010003,TOP SHELF LIQUOR / IOWA CITY,A,412 HIGHWAY 1,IOWA CITY,IA,52246,POINT (-91.54408 41.64788),01/01/2025
4565,KUM & GO #228 / SIOUX CITY,A,1925 S LAKEPORT ST,SIOUX CITY,IA,51106,POINT (-96.34663 42.47081),01/01/2025
6002,CASEY'S GENERAL STORE #2597 / SLOAN,A,104 BUCKLEY ST,SLOAN,IA,51055,POINT (-96.22242 42.2291),01/01/2025
3719,WAL-MART 0581 / MARSHALLTOWN,A,2802 S CENTER ST,MARSHALLTOWN,IA,50158,POINT (-92.90986 42.01197),01/01/2025
2573,HY-VEE FOOD STORE / MUSCATINE,A,2400 2ND AVE,MUSCATINE,IA,52761,POINT (-91.0365 41.4508),01/01/2025
2708,HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,A,7220 HICKMAN RD,WINDSOR HEIGHTS,IA,50324,POINT (-93.71785 41.61431),01/01/2025
5463,BACKWATER SPIRITS AND MORE,A,116 W WATER ST STE D,DECORAH,IA,52101,POINT (-91.78668 43.30421),01/01/2025
4730,WALGREENS #05944 / JOHNSTON,A,6200 MERLE HAY RD,JOHNSTON,IA,50131,POINT (-93.69871 41.67317),01/01/2025
5621,SUN MART,A,2920 WEST LOCUST STREET,DAVENPORT,IA,52804,POINT (-90.61994 41.53817),01/01/2025
5615,CASEY'S GENERAL STORE #2520 / GRIMES,A,206 E 1ST ST,GRIMES,IA,50111,POINT (-93.79319 41.68804),01/01/2025
010107,SWEET WATER SPIRITS LLC / CLARION,A,310 CENTRAL AVENUE EAST,CLARION,IA,50255,POINT (-93.72999 42.73168),01/01/2025
5128,PRICE CHOPPER  /  BEAVER #1310,A,1819 BEAVER AVE,DES MOINES,IA,50310,POINT (-93.67302 41.61105),01/01/2025
5950,CASEY'S GENERAL STORE #3898 / ANAMOSA,A,23485 COUNTY ROAD E34,ANAMOSA,IA,52205,POINT (-91.33433 42.07252),01/01/2025
5138,KELLOGG COUNTRY STORE,A,"103, BLAIR ST",KELLOGG,IA,50135,POINT (-92.9031 41.71438),01/01/2025
4480,CIRCLE K #4706602 / CLINTON,A,1530 NORTH 2ND ST,CLINTON,IA,52732,POINT (-90.18389 41.86148),01/01/2025
5310,CROSSROADS OF ALGONA,I,107 HWY 18 W,ALGONA,IA,50511,POINT (-94.23841 43.08245),01/01/2025
010527,BELLEVUE EXPRESS / BELLEVUE,A,802 SOUTH RIVERVIEW STREET,BELLEVUE,IA,52031,POINT (-90.42054 42.25269),01/01/2025
010389,HOME TOWN WINE AND SPIRIT / KEOKUK,A,1501 MAIN STREET,KEOKUK,IA,52632,POINT (-91.39176 40.40388),01/01/2025
5920,KUM & GO #0131 / HUXLEY,A,1706 HWY 210,HUXLEY,IA,50046,,01/01/2025
6034,THREE DOORS DOWN LIQUOR,A,417 BROAD ST.,WHITTEMORE,IA,50598,POINT (-94.42305 43.06358),01/01/2025
5511,THE DEPOT NORTH LIBERTY,A,1290 S DUBUQUE ST,NORTH LIBERTY,IA,52317,POINT (-91.58839 41.74116),01/01/2025
